"k","F1"
"3",0.819277108433735
"3",0.794188861985472
"3",0.815533980582524
"3",0.799043062200957
"3",0.83054892601432
"3",0.755667506297229
"3",0.819047619047619
"3",0.758620689655172
"3",0.814457831325301
"3",0.78239608801956
"3",0.817551963048499
"3",0.812967581047382
"3",0.786407766990291
"3",0.798076923076923
"3",0.849056603773585
"3",0.805896805896806
"3",0.750605326876513
"3",0.820143884892086
"3",0.817518248175183
"3",0.779156327543424
"3",0.819905213270142
"3",0.836879432624114
"3",0.783251231527094
"3",0.788177339901478
"3",0.797101449275362
"3",0.816625916870416
"3",0.754342431761787
"3",0.812807881773399
"3",0.785365853658537
"3",0.804819277108434
"5",0.832
"5",0.815384615384615
"5",0.823045267489712
"5",0.803212851405622
"5",0.806451612903226
"5",0.795081967213115
"5",0.818897637795276
"5",0.848
"5",0.817813765182186
"5",0.831372549019608
"5",0.795180722891566
"5",0.790123456790123
"5",0.824
"5",0.833976833976834
"5",0.819672131147541
"5",0.785123966942149
"5",0.809716599190283
"5",0.83206106870229
"5",0.781893004115226
"5",0.785425101214575
"5",0.770491803278688
"5",0.790322580645161
"5",0.86046511627907
"5",0.816
"5",0.835341365461847
"5",0.803149606299213
"5",0.875
"5",0.768595041322314
"5",0.809716599190283
"5",0.796680497925311
"5",0.776470588235294
"5",0.775
"5",0.811244979919679
"5",0.793650793650794
"5",0.841269841269841
"5",0.778242677824268
"5",0.838709677419355
"5",0.854901960784314
"5",0.816
"5",0.822134387351779
"5",0.796747967479675
"5",0.817460317460318
"5",0.788381742738589
"5",0.806584362139918
"5",0.798449612403101
"5",0.830645161290323
"5",0.796812749003984
"5",0.758333333333333
"5",0.853846153846154
"5",0.765432098765432
"10",0.8
"10",0.793893129770992
"10",0.841269841269841
"10",0.780487804878049
"10",0.82258064516129
"10",0.861538461538462
"10",0.834645669291339
"10",0.786324786324786
"10",0.84375
"10",0.806201550387597
"10",0.783333333333333
"10",0.813008130081301
"10",0.857142857142857
"10",0.837209302325581
"10",0.8
"10",0.828125
"10",0.787878787878788
"10",0.868217054263566
"10",0.745762711864407
"10",0.827067669172932
"10",0.790697674418605
"10",0.813008130081301
"10",0.834645669291339
"10",0.790322580645161
"10",0.8
"10",0.816
"10",0.784
"10",0.838709677419355
"10",0.876923076923077
"10",0.859375
"10",0.832
"10",0.859375
"10",0.82442748091603
"10",0.756302521008403
"10",0.80327868852459
"10",0.80327868852459
"10",0.834645669291339
"10",0.83969465648855
"10",0.80952380952381
"10",0.813008130081301
"10",0.832
"10",0.8
"10",0.848
"10",0.828125
"10",0.829268292682927
"10",0.758064516129032
"10",0.818897637795276
"10",0.867647058823529
"10",0.793388429752066
"10",0.848
"10",0.784
"10",0.834645669291339
"10",0.786885245901639
"10",0.760330578512397
"10",0.832
"10",0.848484848484849
"10",0.893939393939394
"10",0.790322580645161
"10",0.790322580645161
"10",0.8
"10",0.816
"10",0.8125
"10",0.796747967479675
"10",0.838709677419355
"10",0.857142857142857
"10",0.741935483870968
"10",0.796610169491525
"10",0.863636363636364
"10",0.796875
"10",0.861538461538462
"10",0.809917355371901
"10",0.875
"10",0.868217054263566
"10",0.774193548387097
"10",0.83969465648855
"10",0.776859504132231
"10",0.80952380952381
"10",0.82258064516129
"10",0.845528455284553
"10",0.806451612903226
"10",0.830769230769231
"10",0.806451612903226
"10",0.790322580645161
"10",0.825396825396825
"10",0.821705426356589
"10",0.766666666666667
"10",0.837209302325581
"10",0.841269841269841
"10",0.813559322033898
"10",0.768
"10",0.826446280991735
"10",0.825396825396825
"10",0.793388429752066
"10",0.852713178294574
"10",0.825396825396825
"10",0.863636363636364
"10",0.758064516129032
"10",0.793650793650794
"10",0.846153846153846
"10",0.764227642276423
