"k","max_depth","F1"
"3","3",0.0168067226890756
"3","3",0.0251046025104603
"3","3",0.0578512396694215
"3","3",0.0251046025104603
"3","3",0.0251046025104603
"3","3",0.073469387755102
"3","3",0.0168067226890756
"3","3",0.0333333333333333
"3","3",0.0416666666666667
"3","3",0.0333333333333333
"3","3",0.0167364016736402
"3","3",0.0416666666666667
"3","3",0.04149377593361
"3","3",0.0168067226890756
"3","3",0.0334728033472803
"3","3",0.04149377593361
"3","3",0.0576131687242798
"3","3",0.0168776371308017
"3","3",0.0333333333333333
"3","3",0.0251046025104603
"3","3",0.0416666666666667
"3","3",0.0251046025104603
"3","3",0.04149377593361
"3","3",0.0578512396694215
"3","3",0.0333333333333333
"3","3",0.0333333333333333
"3","3",0.0576131687242798
"3","3",0.0251046025104603
"3","3",0.0495867768595041
"3","3",0.0416666666666667
"3","5",0.406666666666667
"3","5",0.434210526315789
"3","5",0.501587301587302
"3","5",0.429042904290429
"3","5",0.487179487179487
"3","5",0.441558441558441
"3","5",0.408026755852843
"3","5",0.527950310559006
"3","5",0.469055374592834
"3","5",0.487341772151899
"3","5",0.444444444444444
"3","5",0.431893687707641
"3","5",0.498442367601246
"3","5",0.379661016949153
"3","5",0.442244224422442
"3","5",0.435643564356436
"3","5",0.477707006369427
"3","5",0.483870967741936
"3","5",0.426666666666667
"3","5",0.377104377104377
"3","5",0.526315789473684
"3","5",0.43046357615894
"3","5",0.459546925566343
"3","5",0.431372549019608
"3","5",0.46984126984127
"3","5",0.405405405405405
"3","5",0.474683544303797
"3","5",0.437086092715232
"3","5",0.437908496732026
"3","5",0.515723270440252
"3","Unlimited",0.819277108433735
"3","Unlimited",0.794188861985472
"3","Unlimited",0.815533980582524
"3","Unlimited",0.799043062200957
"3","Unlimited",0.83054892601432
"3","Unlimited",0.755667506297229
"3","Unlimited",0.819047619047619
"3","Unlimited",0.758620689655172
"3","Unlimited",0.814457831325301
"3","Unlimited",0.78239608801956
"3","Unlimited",0.817551963048499
"3","Unlimited",0.812967581047382
"3","Unlimited",0.786407766990291
"3","Unlimited",0.798076923076923
"3","Unlimited",0.849056603773585
"3","Unlimited",0.805896805896806
"3","Unlimited",0.750605326876513
"3","Unlimited",0.820143884892086
"3","Unlimited",0.817518248175183
"3","Unlimited",0.779156327543424
"3","Unlimited",0.819905213270142
"3","Unlimited",0.836879432624114
"3","Unlimited",0.783251231527094
"3","Unlimited",0.788177339901478
"3","Unlimited",0.797101449275362
"3","Unlimited",0.816625916870416
"3","Unlimited",0.754342431761787
"3","Unlimited",0.812807881773399
"3","Unlimited",0.785365853658537
"3","Unlimited",0.804819277108434
"5","3",0.0277777777777778
"5","3",0.0413793103448276
"5","3",0.0416666666666667
"5","3",0.0551724137931034
"5","3",0.0140845070422535
"5","3",0.013986013986014
"5","3",0.0680272108843537
"5","3",0.0416666666666667
"5","3",0.027972027972028
"5","3",0.027972027972028
"5","3",0.0277777777777778
"5","3",0.0680272108843537
"5","3",0.027972027972028
"5","3",0.027972027972028
"5","3",0.0416666666666667
"5","3",0.0810810810810811
"5","3",0.0680272108843537
"5","3",0.0140845070422535
"5","3",0.0140845070422535
"5","3",0.027972027972028
"5","3",0.0277777777777778
"5","3",0.0413793103448276
"5","3",0.0140845070422535
"5","3",0.027972027972028
"5","3",0.0140845070422535
"5","3",0.0680272108843537
"5","3",0.0547945205479452
